Title,Year,Rating,Date Rated,URL,Poster URL
Aladdin,2019,3,26-10-2019,https://www.rottentomatoes.com/m/aladdin,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14596224_p_v12_ag.jpg
Good morning vietnam,1987,4,26-10-2019,https://www.rottentomatoes.com/m/good_morning_vietnam,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p10544_p_v8_ad.jpg
Parasite,2019,5,16-10-2019,https://www.rottentomatoes.com/m/parasite_2019,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16965677_p_v8_ad.jpg
It: chapter two,2019,3.5,12-10-2019,https://www.rottentomatoes.com/m/it_chapter_two,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14624901_p_v13_ag.jpg
Crazy rich asians,2018,4,12-10-2019,https://www.rottentomatoes.com/m/crazy_rich_asians,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14775182_p_v8_ab.jpg
Love simon,2018,4.5,12-10-2019,https://www.rottentomatoes.com/m/love_simon,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14651974_p_v8_aa.jpg
Manbiki kazoku,2018,4.5,12-10-2019,https://www.rottentomatoes.com/m/shoplifters,https://www.rottentomatoes.com/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Booksmart,2019,4,13-08-2019,https://www.rottentomatoes.com/m/booksmart,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16367922_p_v13_aa.jpg
Al final del túnel,2016,4,13-08-2019,https://www.rottentomatoes.com/m/at_the_end_of_the_tunnel,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13057137_p_v8_ac.jpg
The lion king,2019,4.5,13-08-2019,https://www.rottentomatoes.com/m/the_lion_king_2019,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14113286_p_v13_ac.jpg
Cube,1997,3,13-08-2019,https://www.rottentomatoes.com/m/cube,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p20005_p_v8_aa.jpg
Always be my maybe,2019,3.5,14-07-2019,https://www.rottentomatoes.com/m/always_be_my_maybe_2019,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15586359_p_v8_aa.jpg
The girl on the train,2016,4.5,14-07-2019,https://www.rottentomatoes.com/m/the_girl_on_the_train_2016,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12770646_p_v8_ac.jpg
A river below,2017,4.5,14-07-2019,https://www.rottentomatoes.com/m/a_river_below,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14690609_p_v8_aa.jpg
Julieta,2016,4.5,14-07-2019,https://www.rottentomatoes.com/m/julieta_2016,https://www.rottentomatoes.com/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Toy story 4,2019,5,14-07-2019,https://www.rottentomatoes.com/m/toy_story_4,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/153096/153096_aa.jpg
Raw,2016,3,14-07-2019,https://www.rottentomatoes.com/m/raw_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p13008802_p_v8_am.jpg
The lobster,2015,4,14-07-2019,https://www.rottentomatoes.com/m/the_lobster,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12137373_p_v8_af.jpg
Candelaria,2017,5,14-07-2019,https://www.rottentomatoes.com/m/candelaria,https://www.rottentomatoes.com/assets/pizza-pie/images/poster_default.c8c896e70c3.gif
Oblivion,2013,3.5,14-07-2019,https://www.rottentomatoes.com/m/oblivion_2013,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p9344844_p_v8_aa.jpg
Eighth grade,2018,4,14-07-2019,https://www.rottentomatoes.com/m/eighth_grade,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15283866_p_v8_aa.jpg
Dumbo,2019,4.5,15-05-2019,https://www.rottentomatoes.com/m/dumbo_2019,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/187007/187007_aa.jpg
Private life,2018,5,15-04-2019,https://www.rottentomatoes.com/m/private_life_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15900533_p_v8_aa.jpg
El fotógrafo de mauthausen,2018,4.5,15-04-2019,https://www.rottentomatoes.com/m/el_fotografo_de_mauthausen,https://www.rottentomatoes.com/images/poster_default.gif
The boy who harnessed the wind,2019,4.5,15-04-2019,https://www.rottentomatoes.com/m/the_boy_who_harnessed_the_wind,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16249901_p_v11_aa.jpg
Green book,2018,5,16-03-2019,https://www.rottentomatoes.com/m/green_book,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15674164_p_v8_aa.jpg
Alone (solo),2018,4,14-02-2019,https://www.rottentomatoes.com/m/alone_2018,https://www.rottentomatoes.com/images/poster_default.gif
Black panther,2018,4.5,14-02-2019,https://www.rottentomatoes.com/m/black_panther_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12878741_p_v12_ah.jpg
Blackkklansman,2018,5,14-02-2019,https://www.rottentomatoes.com/m/blackkklansman,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15393254_p_v8_ac.jpg
A star is born,2018,4,14-02-2019,https://www.rottentomatoes.com/m/a_star_is_born_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p14603082_p_v8_ac.jpg
Unbreakable,2000,4,14-02-2019,https://www.rottentomatoes.com/m/unbreakable,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p26586_p_v8_aa.jpg
Bohemian rhapsody,2018,4,14-02-2019,https://www.rottentomatoes.com/m/bohemian_rhapsody,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/NowShowing/185586/185586_aa.jpg
Roma,2018,4.5,14-02-2019,https://www.rottentomatoes.com/m/roma_2018,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p15849821_p_v13_aa.jpg
Bird box,2018,3.5,15-01-2019,https://www.rottentomatoes.com/m/bird_box,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p16169325_p_v8_aa.jpg
Going in style,2017,3,15-01-2019,https://www.rottentomatoes.com/m/going_in_style_2017,https://resizing.flixster.com/IaXbRF4gIPh9jireK_4VCPNfdKc=/170x243/v2/https://flxt.tmsimg.com/https://flxt.tmsimg.com/assets/p12313311_p_v8_af.jpg
